origin_warehouse,destination_store,product,truck_identifier,shipment_date,on_time,product_quantity,driver_identifier
f8046573-6734-426e-96c2-53c57c895890,7bc3c7be-063f-401c-b465-cdda82dfe772,motor oil,67671379123,2018-03-10,False,16,54519585509
47395e50-eefc-47f0-ae6c-b360db624b60,c7c6dbb1-a307-43e9-bdf9-3f327986781c,tires,63976870447,2019-12-28,True,41,10822184115
38d3adbe-b1a9-4f71-af12-d416a50a5696,0effc714-c1f2-4a19-b5e5-b06846e1a8dc,laptops,58582810503,2020-08-17,True,84,31989121942
344ca647-d634-4e75-859c-745a29cc3f85,1bb79bc0-6ad9-4893-a5de-8cdb0a0e900b,video games,31631897560,2019-11-27,False,63,33112833196
0316535a-931d-44c7-8717-daca4b53530b,351489e8-70b2-41b8-8ab1-ff1ac2fa4ac1,patio chairs,25552942425,2017-11-13,True,69,85314463478
64f3590e-cca2-4954-8092-6ce85ab1efb1,04636523-ee7e-4922-a6e1-2469bf04f60d,aquariums,39471352251,2017-04-24,True,90,26767592850
2e427d0b-449b-4479-b899-d40b47c45c2d,558045a5-fae8-41e4-9851-272429536b09,patio chairs,74481186501,2016-10-29,True,19,24599338898
5be6b2ca-a3f9-41fa-a1c8-26519e5ff208,5a1514c1-fd47-46ed-a621-09cafd9d3929,snacks,71597814828,2016-02-21,False,25,43774353719
cd823658-5272-4c87-8b22-3b92f89d3469,cfad94fc-dcff-4006-9e8f-0a4af0f86005,alternators,12662024693,2019-04-08,True,77,23991992022
2ed22ede-e0a9-4ab5-8fd6-97490c81acaa,35cc42b2-ffb8-4386-b99c-052214ec30ed,grills,67776715339,2019-06-27,True,84,31313846291
a8d49a77-43e4-4c6a-bbe9-10d14b4486ea,23d42a74-f1e9-4fab-8f3a-ef14745949ac,pillows,50131258509,2018-10-25,False,15,52493034798
3e233bcf-3fde-41ff-b1b1-7b5fdc22d863,e4ec1e0c-a3ce-4789-b58f-c690d5b3fff8,lotion,54258394585,2016-02-20,True,89,61896465358
ec79c4a3-5543-46a3-8546-9f00bec22ca6,2b320f2b-673f-42e2-9e65-1584e83ca84f,cell phones,87493889819,2021-02-25,True,38,17312150096
818502c0-83e1-4fae-80de-83e7d1085ea0,6d11fcd7-2d98-457e-9ef2-74fbedae6462,body wash,13056449901,2019-04-02,False,92,11604953339
66a09e10-c45f-49a4-81f9-f5ca91fcf4f8,4bdb342b-d42d-4d2e-a962-23fac6f0b4cd,electrical supplies,76358899426,2021-02-19,False,93,85821685886
62645635-ccfe-4dbb-a433-dc8246d5a6fd,2c08f12d-1c4e-4c99-8be7-2c2729887fe2,animal masks,50948539905,2018-12-31,True,97,37659214321
ab6d0755-4c20-48f8-ae6d-f360a8be0914,ef9ba9a2-2e59-4f85-ae86-9f61492d0801,shoes,60702237873,2019-05-02,False,17,66225549120
ae2e39dd-5bba-43c0-93a8-468e6da97720,4a0feed0-4631-4fde-8286-da960fb6fe1b,pillows,54900509747,2019-09-03,False,93,51305826712
4431bc28-bf83-4a50-9d48-bdd8af738835,b8cfb726-8cc7-4259-a3f1-7d53a29af2c7,yoga mats,89190659542,2017-11-11,False,82,60665928804
fac6714b-926a-4223-b0b4-33964e5528a7,09ac9667-cd0f-4f0f-9563-723755c9d599,skis,58385706529,2016-08-05,False,88,24321456341
a83a4d90-14c7-48b6-a427-4ad8a7611f83,66ba0fa1-2706-427d-b67a-aaf9aaea19dd,shoes,35662723241,2017-08-27,True,15,83396478222
ce6cf669-3cc1-4838-ba7d-f9e0ac826625,1da973f7-deb4-4dac-8645-ee987803c4c1,coffee,13368366184,2017-04-09,False,94,81502831068
0c4d944f-93d8-4ce5-be0b-464cb2a71f4b,4d684fb0-45dd-4b96-861e-6787bbd06e16,cell phones,78735249179,2016-03-21,False,12,26938717413
3b091f2c-8a4f-4ad6-a70b-130d10c30296,e4170655-9999-4994-ae97-8ef45e2a6270,blankets,71086275068,2016-10-16,False,100,83909852390
926f8914-1252-478b-95a4-ce3f8a85cffa,1176f211-d566-4747-8c18-f4b99c19d89f,animal masks,40834528977,2020-07-02,False,43,80955783330
ff6789ff-3844-4f63-940f-0dda091d1725,9632a587-e64d-457c-988d-e4129f4d05bb,paint,86324644972,2016-03-08,False,37,12392895205
0d5ab959-ce81-4532-9aae-512bd40717f5,309c2698-48c7-48f3-8a77-dbfcfdfb1b49,alternators,79108491439,2018-09-09,True,13,51188383184
a26c8d49-7d5f-46a9-ab7b-10869f8aad7d,d5d54f7c-af47-466f-beba-3e7116b00570,video games,61813096219,2016-04-17,False,47,26557938449
